event_id,machine_id,event_ts,site_id,client_id,model,hour_meter,event_type,status,fault_code,severity,temperature_c,vibration_mm_s,fuel_level_pct,duration_minutes,downtime_minutes,maintenance_cost_gbp,part_code,part_quantity,operator_shift
E0001,MCH-1001,2026-04-01T06:00:00Z,SITE-NORTH,CLIENT-A,Backhoe Loader,1250.4,telemetry,RUNNING,OK,none,72.5,2.1,81,60,0,0,NONE,0,day
E0002,MCH-1001,2026-04-01T07:00:00Z,SITE-NORTH,CLIENT-A,Backhoe Loader,1251.3,telemetry,RUNNING,OK,none,74.0,2.3,78,60,0,0,NONE,0,day
E0003,MCH-1001,2026-04-01T08:00:00Z,SITE-NORTH,CLIENT-A,Backhoe Loader,1252.1,inspection,IDLE,OK,none,69.1,1.8,76,30,0,0,NONE,0,day
E0004,MCH-1002,2026-04-01T06:00:00Z,SITE-NORTH,CLIENT-A,Excavator,2198.0,telemetry,RUNNING,OK,none,81.2,3.8,64,60,0,0,NONE,0,day
E0005,MCH-1002,2026-04-01T07:00:00Z,SITE-NORTH,CLIENT-A,Excavator,2198.8,alert,FAULT,HYD_PRESSURE_LOW,high,96.8,6.9,61,20,40,620,HYD-FLTR-02,1,day
E0006,MCH-1002,2026-04-01T08:00:00Z,SITE-NORTH,CLIENT-A,Excavator,2199.0,maintenance,MAINTENANCE,HYD_PRESSURE_LOW,medium,79.7,3.2,60,45,15,280,HYD-OIL-10L,3,day
E0007,MCH-1003,2026-04-01T06:00:00Z,SITE-EAST,CLIENT-B,Wheel Loader,864.2,telemetry,RUNNING,OK,none,70.5,2.5,88,60,0,0,NONE,0,day
E0008,MCH-1003,2026-04-01T07:00:00Z,SITE-EAST,CLIENT-B,Wheel Loader,865.1,telemetry,RUNNING,OK,none,71.4,2.8,84,60,0,0,NONE,0,day
E0008,MCH-1003,2026-04-01T07:00:00Z,SITE-EAST,CLIENT-B,Wheel Loader,865.1,telemetry,RUNNING,OK,none,71.4,2.8,84,60,0,0,NONE,0,day
E0009,MCH-1003,2026-04-01T08:00:00Z,SITE-EAST,CLIENT-B,Wheel Loader,865.7,alert,FAULT,BRAKE_TEMP_HIGH,critical,104.2,7.1,82,15,45,910,BRAKE-PAD-04,2,day
E0010,MCH-1003,2026-04-01T09:00:00Z,SITE-EAST,CLIENT-B,Wheel Loader,865.8,maintenance,MAINTENANCE,BRAKE_TEMP_HIGH,medium,78.6,2.7,81,50,10,430,BRAKE-FLUID-01,1,day
E0011,MCH-1004,2026-04-01T06:00:00Z,SITE-WEST,CLIENT-C,Telehandler,402.5,telemetry,RUNNING,OK,none,66.7,1.7,92,60,0,0,NONE,0,day
E0012,MCH-1004,2026-04-01T07:00:00Z,SITE-WEST,CLIENT-C,Telehandler,403.2,telemetry,RUNNING,OK,none,67.9,1.9,89,60,0,0,NONE,0,day
E0013,MCH-1004,2026-04-01T08:00:00Z,SITE-WEST,CLIENT-C,Telehandler,403.6,inspection,IDLE,OK,none,64.4,1.4,87,25,0,0,NONE,0,day
E0014,MCH-1005,2026-04-01T18:00:00Z,SITE-SOUTH,CLIENT-D,Compactor,1510.0,telemetry,RUNNING,OK,none,76.0,4.3,70,60,0,0,NONE,0,night
E0015,MCH-1005,2026-04-01T19:00:00Z,SITE-SOUTH,CLIENT-D,Compactor,1510.7,alert,FAULT,VIBRATION_SPIKE,high,89.5,8.8,66,10,50,540,VIB-MOUNT-07,4,night
E0016,MCH-1005,2026-04-01T20:00:00Z,SITE-SOUTH,CLIENT-D,Compactor,1510.8,maintenance,MAINTENANCE,VIBRATION_SPIKE,medium,73.1,3.9,65,40,20,360,VIB-SENSOR-03,1,night
E0017,MCH-1001,2026-04-02T06:00:00Z,SITE-NORTH,CLIENT-A,Backhoe Loader,1258.2,telemetry,RUNNING,OK,none,73.0,2.2,73,60,0,0,NONE,0,day
E0018,MCH-1001,2026-04-02T07:00:00Z,SITE-NORTH,CLIENT-A,Backhoe Loader,1259.0,alert,FAULT,FUEL_CONTAMINATION,medium,77.6,3.5,40,25,35,250,FUEL-FLTR-01,1,day
E0019,MCH-1001,2026-04-02T08:00:00Z,SITE-NORTH,CLIENT-A,Backhoe Loader,1259.2,maintenance,MAINTENANCE,FUEL_CONTAMINATION,low,70.4,2.0,39,35,15,130,FUEL-FLTR-01,1,day
E0020,MCH-1002,2026-04-02T06:00:00Z,SITE-NORTH,CLIENT-A,Excavator,2204.5,telemetry,RUNNING,OK,none,82.3,4.1,58,60,0,0,NONE,0,day
E0021,MCH-1002,2026-04-02T07:00:00Z,SITE-NORTH,CLIENT-A,Excavator,2205.1,telemetry,RUNNING,OK,none,84.0,4.4,55,60,0,0,NONE,0,day
E0022,MCH-1003,2026-04-02T06:00:00Z,SITE-EAST,CLIENT-B,Wheel Loader,871.2,telemetry,RUNNING,OK,none,72.1,2.9,79,60,0,0,NONE,0,day
E0023,MCH-1003,2026-04-02T07:00:00Z,SITE-EAST,CLIENT-B,Wheel Loader,871.9,telemetry,IDLE,OK,none,68.2,2.1,77,30,0,0,NONE,0,day
E0024,MCH-1004,2026-04-02T06:00:00Z,SITE-WEST,CLIENT-C,Telehandler,409.0,alert,FAULT,SENSOR_OFFLINE,medium,65.1,1.5,85,5,55,180,TEL-SENSOR-02,1,day
E0025,MCH-1004,2026-04-02T07:00:00Z,SITE-WEST,CLIENT-C,Telehandler,409.1,maintenance,MAINTENANCE,SENSOR_OFFLINE,low,63.2,1.3,84,45,10,120,TEL-SENSOR-02,1,day
E0026,MCH-1005,2026-04-02T18:00:00Z,SITE-SOUTH,CLIENT-D,Compactor,1517.4,telemetry,RUNNING,OK,none,75.5,4.0,62,60,0,0,NONE,0,night
E0027,MCH-1005,2026-04-02T19:00:00Z,SITE-SOUTH,CLIENT-D,Compactor,1518.0,telemetry,RUNNING,OK,none,77.1,4.2,59,60,0,0,NONE,0,night
